event_id,country,reform_name,reform_year,first_conviction_lag_yrs,n_high_profile_convictions_5yr,survival_status_10yr,lead_prosecutor_tenure_yrs,political_coalition_stable_5yr,source_tier,notes
IDN_KPK_2003,IDN,Komisi Pemberantasan Korupsi,2003,1,9,intact,5,yes,3,"First sustained conviction 2004. KPK secured 95%+ conviction rate 2003-2014. Multiple ministers, parliamentarians, central bank governor, MK chief justice. Weakened in 2019 amendments (post-window)."
NGA_EFCC_2003,NGA,Economic and Financial Crimes Commission,2003,4,3,weakened,4,no,3,Tafa Balogun plea 2005. First minister-level sustained conviction Alamieyeseigha 2007. Approximately 3 sustained convictions by 2008. Pattern of leadership turnover (Ribadu 2007 Waziri 2011 Magu 2020).
BRA_LavaJato_2014,BRA,Operation Lava Jato,2014,0,15,weakened,5,no,3,Paulo Roberto Costa plea 2014. Marcelo Odebrecht convicted 2016. Lula convicted 2017. 250+ total convictions 2014-2021. 2021 Supreme Court annulments. Operation wound down 2021.
IND_Lokpal_2014,IND,Lokpal and Lokayuktas Act,2014,99,0,weakened,0,no,4,"First chairperson 2019. ~12000 complaints through 2023, single-digit sustained convictions. Censored at 10."
RWA_Ombudsman_2003,RWA,Office of the Ombudsman and Auditor General,2003,2,6,intact,7,yes,4,Several senior officials convicted 2004-2008. Continuous RPF support. Developmental authoritarian framework caveat applies.
KOR_Consolidation_1995,KOR,Post-1987 consolidation (Kim Young-sam reforms),1995,1,8,intact,6,yes,3,Roh Tae-woo and Chun Doo-hwan convicted 1996. Multiple chaebol prosecutions. Sustained prosecutorial independence.
ITA_ManiPulite_1992,ITA,Mani Pulite,1992,1,20,weakened,5,no,3,5000+ indictments and ~1300 convictions through 1996. Craxi convicted 1994. Berlusconi-era pushback weakened follow-through by year 10.
HKG_ICAC_1991,HKG,Independent Commission Against Corruption (post-1990 strengthening),1991,1,5,intact,7,yes,3,Sustained high-profile convictions 1992-1996. Strong cross-party support during late colonial transition.
MYS_MACC_2009,MYS,Malaysian Anti-Corruption Commission,2009,11,0,weakened,3,no,3,Najib Razak 1MDB convictions 2020 (11 years post-reform). No sustained minister-level convictions within 5-year window. Commissioner removals under political pressure.
PHL_Ombudsman_2011,PHL,Ombudsman strengthening (Morales era),2011,4,4,intact,7,yes,4,Carpio-Morales tenure produced several high-profile convictions. Survived Duterte-era pressure.
THA_NACC_1997,THA,National Anti-Corruption Commission,1997,3,5,weakened,5,no,3,Multiple prosecutions late 1990s and 2000s. Thaksin prosecutions began 2006. Coups 2006 and 2014 undermined coalition stability.
GTM_CICIG_2007,GTM,International Commission Against Impunity in Guatemala,2007,2,12,dismantled,10,no,3,Strong record 2007-2018. Otto Perez Molina indicted 2015. Dismantled 2019 by Morales administration.
ROU_DNA_2002,ROU,Directia Nationala Anticoruptie,2002,3,15,weakened,7,no,3,Consolidated under Kovesi leadership 2013. Former PM Nastase convicted 2012. Weakened post-2018 with Kovesi removal.
ARG_AntiCorr_2000,ARG,Anticorruption Office,2000,5,1,weakened,2,no,3,Multiple Menem-era indictments through 2000s. Menem convicted 2013 (illegal arms exports). Multiple political-coalition shifts.
PER_LavaJato_2017,PER,Peru Lava Jato (Odebrecht spillover),2017,1,5,intact,6,yes,3,Multiple former presidents indicted 2017-2019. Continuous prosecutorial independence despite presidential turnover.
MEX_FGR_2019,MEX,Fiscalia General de la Republica,2019,99,0,weakened,3,no,4,Through 2023 no sustained high-profile cabinet-level convictions.
ZAF_StateCapture_2018,ZAF,Zondo Commission and NPA strengthening,2018,99,0,weakened,5,no,4,Extensive findings 2018-2022 but no sustained high-profile state-capture-related convictions through 2023.
GHA_OSP_2018,GHA,Office of the Special Prosecutor,2018,99,0,weakened,2,no,4,Martin Amidu resigned 2020 citing executive interference. No sustained minister-level convictions.
SEN_OFNAC_2012,SEN,Office National de Lutte Contre la Fraude et la Corruption,2012,4,2,weakened,4,no,4,Karim Wade convicted 2015 via separate court. Limited sustained convictions thereafter.
ZMB_ACC_2010,ZMB,Anti-Corruption Commission Act amendment,2010,3,3,weakened,4,no,3,Several former ministers indicted under Sata 2011-2015. Political weaponisation under PF reduced credibility.
CHN_CCDI_2012,CHN,CCDI intensified anti-corruption campaign,2012,1,40,intact,5,yes,2,Bo Xilai convicted 2013. Zhou Yongkang convicted 2015. Hundreds of senior officials convicted 2012-2017. Authoritarian framework caveat applies.
VNM_AntiCorr_2016,VNM,Vietnam Communist Party anti-corruption campaign,2016,2,20,intact,5,yes,4,Politburo members investigated and convicted 2018-2021 including Dinh La Thang. Continues through 2023. Authoritarian framework caveat applies.
